Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV3327;Jeremie;;;;;;;;;;;;;
PROV3328;Port-de-Paix;;;;;;;;;;;;;
PROV3329;Fort-Liberte;;;;;;;;;;;;;
PROV3330;Manneville;;;;;;;;;;;;;
PROV3331;Jaroslaw;;;;;;;;;;;;;
PROV3332;Lausanne;;;;;;;;;;;;;
PROV3333;Nassau;;;;;;;;;;;;;
NRM;Normandy;;;;;;;;;;;;;
NRM_ADJ;Normand;;;;;;;;;;;;;
PROV3335;Zabiljak;;;;;;;;;;;;;
HAI_dominion;Saint-Domingue;;;;;;;;;;;;;
PROV3349;Seine-et-Oise;;;;;;;;;;;;;
PROV3350;Somme;;;;;;;;;;;;;
PROV3351;Pau;;;;;;;;;;;;;
PROV3352;Digne;;;;;;;;;;;;;
PROV3353;Zlatograd;;;;;;;;;;;;;
PROV3354;Tsarevo;;;;;;;;;;;;;
PROV3359;Barcelonette;;;;;;;;;;;;;
PROV3360;Pinerolo;;;;;;;;;;;;;
PROV3361;Jacmel;;;;;;;;;;;;;
PROV3362;Vida Silvertre Caratsca;;;;;;;;;;;;;
PROV3365;Aran;;;;;;;;;;;;;
PROV3366;Vienne;;;;;;;;;;;;;
PROV3367;Lons;;;;;;;;;;;;;
PROV3368;Chalon;;;;;;;;;;;;;
PROV3369;Sedan;;;;;;;;;;;;;
PROV3370;Portbail;;;;;;;;;;;;;
EVTDESC17910;In 1659 we acquired the colony on the west coast of Hispaniola, it so happens that is is very profitable to have slaves.The French had established themselves on the western portion of the islands of Hispaniola and Tortuga by 1659. In the Treaty of Ryswick of 1697, Spain formally recognized French control of Tortuga Island and the western third of the island of Hispaniola. In 1791, enslaved Africans and some free people of color of Saint-Domingue began waging a rebellion against French authority. The rebels became reconciled to French rule following the abolition of slavery in the colony in 1793, although this alienated the island's dominant slave-owning class. France controlled the entirety of Hispaniola from 1795 to 1802, when a renewed rebellion began. The last French troops withdrew from the western portion of the island in late 1803, and the colony later declared its independence as Haiti, its indigenous name, the following year.;;;;;;;;;;;;;
EVTDESC17912;We have long held Saint-Domingue without revolts but that changes now as the slaves have taken arms.;;;;;;;;;;;;;
EVTDESC17915;We have Defeated all who attacked us and now we must decide a fate for this new nation, Vive La Haiti.;;;;;;;;;;;;;
EVTDESC17911;Slavery in Saint-Domingue brings us wealth, that no other colony in the world does.;;;;;;;;;;;;;
conquest_low;Minor Conquest;;;;;;;;;;;;;x
conquest_low_desc;Annex a §Ycountry§W of small size and population by conquest;;;;;;;;;;;;;x
conquest_low_setup;Annex minor nation of $RECIPIENT$;;;;;;;;;;;;;x
conquest_low_short;Annex $RECIPIENT$;;;;;;;;;;;;;x
subjugation;Subjugation;;;;;;;;;;;;;x
subjugation_desc;Annex a §Ycountry§W that does not have are nomadic way of life or that might question our power.;;;;;;;;;;;;;x
subjugation_setup;Subjugation of $RECIPIENT$;;;;;;;;;;;;;x
subjugation_short;Subjugate $RECIPIENT$;;;;;;;;;;;;;x
